French,English
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
bébé,baby
longtemps,long time
vont,will
compris,understood
savais,knew
type,type
donné,given
train,train
endroit,place
yeux,eyes
premier,first
perdu,lost
première,first
côté,side
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mari,husband
enfin,finally
espère,hope
eau,water
terre,Earth
donne,given
loin,far
fin,end
croire,believe
plutôt,rather
filles,girls
